No.,P1,P2,P3,P4,Duration
591_21,bcl,b,ah,m,878
591_22,b,ah,m,hv,1135
591_23,ah,m,hv,uw,1200
591_24,m,hv,uw,kcl,640
591_25,hv,uw,kcl,k,1680
591_26,uw,kcl,k,ih,1110
591_27,kcl,k,ih,l,1130
591_28,k,ih,l,dcl,583
591_29,ih,l,dcl,hv,1017
591_30,l,dcl,hv,ih,1920
591_31,dcl,hv,ih,m,1157
591_32,hv,ih,m,w,710
591_33,ih,m,w,uh,773
591_34,m,w,uh,dcl,229
591_35,w,uh,dcl,d,335
591_36,uh,dcl,d,hv,796
591_37,dcl,d,hv,eh,1200
591_38,d,hv,eh,v,600
591_39,hv,eh,v,tcl,600
591_40,eh,v,tcl,t,1120
591_41,v,tcl,t,er,1532
591_42,tcl,t,er,n,501
591_43,t,er,n,d,127
591_44,er,n,d,aw,1883
591_45,n,d,aw,tcl,543
591_46,d,aw,tcl,hv,501
591_47,aw,tcl,hv,ix,585
591_48,tcl,hv,ix,z,968
591_49,hv,ix,z,pcl,1163
591_50,ix,z,pcl,p,597
591_51,z,pcl,p,aa,1868
591_52,pcl,p,aa,kcl,532
591_53,p,aa,kcl,k,480
591_54,aa,kcl,k,ix,800
591_55,kcl,k,ix,tcl,611
591_56,k,ix,tcl,s,2189
592_0,sil,sil,sil,ih,747
592_1,sil,sil,ih,n,868
592_2,sil,ih,n,f,2014
592_3,ih,n,f,ae,2465
592_4,n,f,ae,kcl,1211
592_5,f,ae,kcl,t,794
592_6,ae,kcl,t,pau,3458
592_7,kcl,t,pau,n,594
592_8,t,pau,n,ow,1183
592_9,pau,n,ow,bcl,800
592_10,n,ow,bcl,b,400
592_11,ow,bcl,b,ax,291
592_12,bcl,b,ax,dx,376
592_13,b,ax,dx,iy,1093
592_14,ax,dx,iy,s,2240
592_15,dx,iy,s,ao,2892
592_16,iy,s,ao,ah,2068
592_17,s,ao,ah,s,2960
592_18,ao,ah,s,pau,2491
592_19,ah,s,pau,k,1295
592_20,s,pau,k,aa,1755
592_21,pau,k,aa,pcl,1380
592_22,k,aa,pcl,p,1104
592_23,aa,pcl,p,ao,774
592_24,pcl,p,ao,r,669
592_25,p,ao,r,s,2047
592_26,ao,r,s,ih,960
592_27,r,s,ih,dx,335
592_28,s,ih,dx,ax-h,919
592_29,ih,dx,ax-h,z,1504
592_30,dx,ax-h,z,ix,793
592_31,ax-h,z,ix,n,627
593_0,sil,sil,sil,ih,1013
593_1,sil,sil,ih,dx,500
593_2,sil,ih,dx,eh,1636
593_3,ih,dx,eh,dcl,1586
593_4,dx,eh,dcl,g,327
593_5,eh,dcl,g,ao,3150
593_6,dcl,g,ao,n,1206
593_7,g,ao,n,l,546
593_8,ao,n,l,ay,1391
593_9,n,l,ay,kcl,1520
593_10,l,ay,kcl,k,1244
593_11,ay,kcl,k,l,594
593_12,kcl,k,l,aa,1187
593_13,k,l,aa,kcl,1257
593_14,l,aa,kcl,k,577
593_15,aa,kcl,k,w,905
593_16,kcl,k,w,er,1810
593_17,k,w,er,kcl,1848
593_18,w,er,kcl,k,641
594_0,sil,sil,sil,hh,1020
594_1,sil,sil,hh,aw,2270
594_2,sil,hh,aw,s,2000
594_3,hh,aw,s,ey,2510
594_4,aw,s,ey,f,1350
594_5,s,ey,f,ix,870
594_6,ey,f,ix,z,1340
594_7,f,ix,z,tcl,400
594_8,ix,z,tcl,t,1120
594_9,z,tcl,t,ux,1610
594_10,tcl,t,ux,s,1980
594_11,t,ux,s,ey,2930
594_12,ux,s,ey,f,3280
595_0,sil,sil,sil,sh,1840
595_1,sil,sil,sh,aw,1261
595_2,sil,sh,aw,l,752
595_3,sh,aw,l,w,752
595_4,aw,l,w,ih,995
595_5,l,w,ih,f,1680
595_6,w,ih,f,l,584
595_7,ih,f,l,ih,616
595_8,f,l,ih,pcl,1200
595_9,l,ih,pcl,ax,800
595_10,ih,pcl,ax,kcl,1227
595_11,pcl,ax,kcl,k,1648
595_12,ax,kcl,k,oy,3992
595_13,kcl,k,oy,n,585
595_14,k,oy,n,tcl,1028
595_15,oy,n,tcl,t,951
595_16,n,tcl,t,ix,489
595_17,tcl,t,ix,s,1960
595_18,t,ix,s,iy,1240
595_19,ix,s,iy,hh,1200
595_20,s,iy,hh,w,426
595_21,iy,hh,w,ih,854
595_22,hh,w,ih,tcl,400
595_23,w,ih,tcl,ch,977
595_24,ih,tcl,ch,ix,543
595_25,tcl,ch,ix,v,1040
595_26,ch,ix,v,ah,1760
595_27,ix,v,ah,s,1280
595_28,v,ah,s,gcl,800
595_29,ah,s,gcl,g,499
595_30,s,gcl,g,ow,2541
595_31,gcl,g,ow,s,1354
595_32,g,ow,s,f,1286
595_33,ow,s,f,er,3440
595_34,s,f,er,s,1600
595_35,f,er,s,tcl,880
595_36,er,s,tcl,t,560
596_0,sil,sil,sil,s,2854
596_1,sil,sil,s,eh,1759
596_2,sil,s,eh,l,623
596_3,s,eh,l,f,626
596_4,eh,l,f,s,2058
596_5,l,f,s,en,1360
596_6,f,s,en,tcl,760
596_7,s,en,tcl,t,1080
596_8,en,tcl,t,eh,1520
596_9,tcl,t,eh,gcl,867
596_10,t,eh,gcl,r,543
596_11,eh,gcl,r,ix,1003
596_12,gcl,r,ix,dx,752
596_13,r,ix,dx,iy,2195
596_14,ix,dx,iy,epi,560
596_15,dx,iy,epi,w,1172
596_16,iy,epi,w,ah,4028
596_17,epi,w,ah,z,1987
596_18,w,ah,z,q,2047
596_19,ah,z,q,ae,2214
596_20,z,q,ae,n,794
596_21,q,ae,n,q,1337
596_22,ae,n,q,ih,4181
596_23,n,q,ih,z,1584
596_24,q,ih,z,q,1216
596_25,ih,z,q,ae,2335
596_26,z,q,ae,n,959
596_27,q,ae,n,q,587
596_28,ae,n,q,eh,1440
596_29,n,q,eh,v,961
596_30,q,eh,v,er,1398
596_31,eh,v,er,hv,1527
596_32,v,er,hv,ae,1993
596_33,er,hv,ae,dcl,1600
596_34,hv,ae,dcl,b,292
596_35,ae,dcl,b,ix,1468
596_36,dcl,b,ix,n,960
597_0,sil,sil,sil,m,752
597_1,sil,sil,m,ay,1749
597_2,sil,m,ay,kcl,960
597_3,m,ay,kcl,k,716
597_4,ay,kcl,k,w,588
597_5,kcl,k,w,ah,1176
597_6,k,w,ah,z,1203
597_7,w,ah,z,ax,1197
597_8,ah,z,ax,v,1120
597_9,z,ax,v,l,800
597_10,ax,v,l,iy,1920
597_11,v,l,iy,gcl,477
597_12,l,iy,gcl,g,403
597_13,iy,gcl,g,ax,558
597_14,gcl,g,ax,l,1122
597_15,g,ax,l,ey,3520
597_16,ax,l,ey,dcl,747
597_17,l,ey,dcl,jh,1295
597_18,ey,dcl,jh,ae,2089
597_19,dcl,jh,ae,n,989
597_20,jh,ae,n,pcl,1040
597_21,ae,n,pcl,p,644
597_22,n,pcl,p,r,452
597_23,pcl,p,r,iy,904
597_24,p,r,iy,z,1360
597_25,r,iy,z,ux,1963
597_26,iy,z,ux,m,1044
597_27,z,ux,m,dcl,433
597_28,ux,m,dcl,d,240
597_29,m,dcl,d,ey,2640
597_30,dcl,d,ey,bcl,949
597_31,d,ey,bcl,b,331
597_32,ey,bcl,b,el,1120
597_33,bcl,b,el,tcl,840
597_34,b,el,tcl,t,1000
597_35,el,tcl,t,ix,960
597_36,tcl,t,ix,dcl,640
597_37,t,ix,dcl,d,330
597_38,ix,dcl,d,ix,870
597_39,dcl,d,ix,f,1360
597_40,d,ix,f,eh,1904
597_41,ix,f,eh,n,976
597_42,f,eh,n,ih,960
597_43,eh,n,ih,m,1360
597_44,n,ih,m,s,1840
597_45,ih,m,s,eh,1813
597_46,m,s,eh,l,907
597_47,s,eh,l,f,1440
597_48,eh,l,f,ix,1440
597_49,l,f,ix,n,960
597_50,f,ix,n,dh,640
597_51,ix,n,dh,ax,880
597_52,n,dh,ax,kcl,960
597_53,dh,ax,kcl,k,904
597_54,ax,kcl,k,l,642
597_55,kcl,k,l,ih,988
597_56,k,l,ih,n,426
597_57,l,ih,n,tcl,359
597_58,ih,n,tcl,ch,1321
597_59,n,tcl,ch,ix,1360
597_60,tcl,ch,ix,z,2160
598_0,sil,sil,sil,eh,1995
598_1,sil,sil,eh,n,885
598_2,sil,eh,n,iy,1440
598_3,eh,n,iy,hv,1520
598_4,n,iy,hv,aw,5645
598_5,iy,hv,aw,pau,3210
598_6,hv,aw,pau,ih,1503
598_7,aw,pau,ih,q,1003
598_8,pau,ih,q,w,627
598_9,ih,q,w,ah,1169
598_10,q,w,ah,z,1212
598_11,w,ah,z,hv,1086
598_12,ah,z,hv,ay,2625
598_13,z,hv,ay,tcl,1360
598_14,hv,ay,tcl,t,1680
598_15,ay,tcl,t,ay,3818
598_16,tcl,t,ay,m,961
598_17,t,ay,m,dh,661
598_18,ay,m,dh,ax,467
598_19,m,dh,ax,bcl,1373
598_20,dh,ax,bcl,b,240
598_21,ax,bcl,b,oy,3360
598_22,bcl,b,oy,w,1360
598_23,b,oy,w,ax,1040
598_24,oy,w,ax,s,2800
598_25,w,ax,s,ao,2160
598_26,ax,s,ao,l,1081
598_27,s,ao,l,tcl,1239
598_28,ao,l,tcl,t,808
598_29,l,tcl,t,ix,1352
598_30,tcl,t,ix,dcl,1279
599_0,sil,sil,sil,m,442
599_1,sil,sil,m,ay,1420
599_2,sil,m,ay,bcl,777
599_3,m,ay,bcl,b,226
599_4,ay,bcl,b,ax,909
599_5,bcl,b,ax,l,880
599_6,b,ax,l,ah,1469
599_7,ax,l,ah,v,702
599_8,l,ah,v,ix,886
599_9,ah,v,ix,dcl,334
599_10,v,ix,dcl,w,2339
599_11,ix,dcl,w,ao,2716
599_12,dcl,w,ao,r,1044
599_13,w,ao,r,m,1671
599_14,ao,r,m,ay,1629
599_15,r,m,ay,pcl,1153
599_16,m,ay,pcl,p,908
599_17,ay,pcl,p,axr,487
599_18,pcl,p,axr,r,1546
599_19,p,axr,r,eh,878
599_20,axr,r,eh,n,752
599_21,r,eh,n,iy,1504
599_22,eh,n,iy,ix,584
599_23,n,iy,ix,l,1498
599_24,iy,ix,l,gcl,758
599_25,ix,l,gcl,g,376
599_26,l,gcl,g,ae,2716
599_27,gcl,g,ae,dcl,241
599_28,g,ae,dcl,f,2138
599_29,ae,dcl,f,l,1255
599_30,dcl,f,l,ay,3088
599_31,f,l,ay,s,3638
599_32,l,ay,s,eh,1050
599_33,ay,s,eh,dcl,880
599_34,s,eh,dcl,dh,320
599_35,eh,dcl,dh,ax,533
599_36,dcl,dh,ax,w,1615
599_37,dh,ax,w,ay,1789
599_38,ax,w,ay,n,718
599_39,w,ay,n,ix,1147
599_40,ay,n,ix,ng,968
599_41,n,ix,ng,v,1018
599_42,ix,ng,v,oy,4068
599_43,ng,v,oy,s,3117
600_0,sil,sil,sil,f,1500
600_1,sil,sil,f,y,839
600_2,sil,f,y,ux,955
600_3,f,y,ux,m,800
600_4,y,ux,m,ih,1440
600_5,ux,m,ih,ng,1040
600_6,m,ih,ng,hh,1120
600_7,ih,ng,hh,eh,1173
600_8,ng,hh,eh,l,587
600_9,hh,eh,l,pcl,1073
600_10,eh,l,pcl,p,701
600_11,l,pcl,p,l,652
600_12,pcl,p,l,ax,1014
600_13,p,l,ax,s,1639
600_14,l,ax,s,hh,908
600_15,ax,s,hh,iy,573
600_16,s,hh,iy,w,1782
600_17,hh,iy,w,aa,1751
600_18,iy,w,aa,tcl,1007
600_19,w,aa,tcl,ch,700
600_20,aa,tcl,ch,dh,1000
600_21,tcl,ch,dh,ax,720
600_22,ch,dh,ax,m,926
600_23,dh,ax,m,pcl,1082
600_24,ax,m,pcl,p,919
600_25,m,pcl,p,ae,2193
600_26,pcl,p,ae,s,1358
600_27,p,ae,s,em,1103
601_0,sil,sil,sil,dh,160
601_1,sil,sil,dh,iy,1040
601_2,sil,dh,iy,z,834
601_3,dh,iy,z,pcl,878
601_4,iy,z,pcl,p,1088
601_5,z,pcl,p,l,800
601_6,pcl,p,l,ae,1600
601_7,p,l,ae,n,486
601_8,l,ae,n,tcl,404
601_9,ae,n,tcl,s,1002
601_10,n,tcl,s,epi,460
601_11,tcl,s,epi,w,501
601_12,s,epi,w,axr,752
601_13,epi,w,axr,m,1416
601_14,w,axr,m,ah,899
601_15,axr,m,ah,tcl,776
601_16,m,ah,tcl,ch,662
601_17,ah,tcl,ch,bcl,1341
601_18,tcl,ch,bcl,b,257
601_19,ch,bcl,b,ih,1124
601_20,bcl,b,ih,gcl,560
601_21,b,ih,gcl,axr,1920
601_22,ih,gcl,axr,pau,4246
601_23,gcl,axr,pau,n,662
601_24,axr,pau,n,ih,508
601_25,pau,n,ih,r,459
601_26,n,ih,r,l,794
601_27,ih,r,l,iy,1212
601_28,r,l,iy,q,1528
601_29,l,iy,q,ao,1469
601_30,iy,q,ao,l,728
601_31,q,ao,l,kcl,874
601_32,ao,l,kcl,k,720
601_33,l,kcl,k,ey,960
601_34,kcl,k,ey,pcl,1160
601_35,k,ey,pcl,p,195
601_36,ey,pcl,p,ax,485
601_37,pcl,p,ax,bcl,1646
601_38,p,ax,bcl,b,314
601_39,ax,bcl,b,el,1315
601_40,bcl,b,el,v,1462
601_41,b,el,v,hh,821
601_42,el,v,hh,ow,766
601_43,v,hh,ow,l,937
601_44,hh,ow,l,dx,372
601_45,ow,l,dx,ix,1006
601_46,l,dx,ix,ng,1127
601_47,dx,ix,ng,ix,1129
601_48,ix,ng,ix,nx,545
601_49,ng,ix,nx,ae,2003
601_50,ix,nx,ae,tcl,743
601_51,nx,ae,tcl,m,582
601_52,ae,tcl,m,ax,580
601_53,tcl,m,ax,s,1411
601_54,m,ax,s,f,921
601_55,ax,s,f,ix,526
601_56,s,f,ix,axr,1165
602_0,sil,sil,sil,b,265
602_1,sil,sil,b,ah,622
602_2,sil,b,ah,tcl,1219
602_3,b,ah,tcl,t,704
602_4,ah,tcl,t,ih,975
602_5,tcl,t,ih,dh,880
602_6,t,ih,dh,iy,1435
602_7,ih,dh,iy,ix,1180
602_8,dh,iy,ix,n,532
602_9,iy,ix,n,f,2853
602_10,ix,n,f,y,615
602_11,n,f,y,er,1128
602_12,f,y,er,r,1587
602_13,y,er,r,iy,919
602_14,er,r,iy,ey,2231
602_15,r,iy,ey,sh,1840
602_16,iy,ey,sh,ix,480
602_17,ey,sh,ix,n,964
602_18,sh,ix,n,ah,871
602_19,ix,n,ah,v,758
602_20,n,ah,v,s,2207
602_21,ah,v,s,ay,2388
602_22,v,s,ay,ix,961
602_23,s,ay,ix,n,676
602_24,ay,ix,n,tcl,638
602_25,ix,n,tcl,t,858
602_26,n,tcl,t,ix,1278
602_27,tcl,t,ix,s,4404
602_28,t,ix,s,pau,3194
602_29,ix,s,pau,f,818
602_30,s,pau,f,axr,1025
602_31,pau,f,axr,n,1520
602_32,f,axr,n,ow,3011
602_33,axr,n,ow,n,1309
602_34,n,ow,n,ow,2960
602_35,ow,n,ow,n,995
602_36,n,ow,n,r,961
602_37,ow,n,r,iy,1804
602_38,n,r,iy,z,1440
602_39,r,iy,z,ix,720
602_40,iy,z,ix,n,422
602_41,z,ix,n,pau,3208
602_42,ix,n,pau,n,736
602_43,n,pau,n,aa,1987
602_44,pau,n,aa,tcl,1894
602_45,n,aa,tcl,q,302
602_46,aa,tcl,q,ao,1691
602_47,tcl,q,ao,l,1127
602_48,q,ao,l,ax,1273
602_49,ao,l,ax,dh,1200
602_50,l,ax,dh,eh,1124
602_51,ax,dh,eh,m,1348
602_52,dh,eh,m,dcl,728
602_53,eh,m,dcl,d,426
602_54,m,dcl,d,ih,2694
602_55,dcl,d,ih,dcl,1280
603_0,sil,sil,sil,p,778
603_1,sil,sil,p,aa,2218
603_2,sil,p,aa,z,1253
603_3,p,aa,z,ax-h,1003
603_4,aa,z,ax-h,v,1446
603_5,z,ax-h,v,r,400
603_6,ax-h,v,r,iy,800
603_7,v,r,iy,z,1280
603_8,r,iy,z,ah,753
603_9,iy,z,ah,l,1336
603_10,z,ah,l,tcl,669
603_11,ah,l,tcl,s,2256
603_12,l,tcl,s,tcl,559
603_13,tcl,s,tcl,t,443
603_14,s,tcl,t,aa,1664
603_15,tcl,t,aa,r,1553
603_16,t,aa,r,tcl,1421
603_17,aa,r,tcl,pau,1294
603_18,r,tcl,pau,w,335
603_19,tcl,pau,w,ax,501
603_20,pau,w,ax,nx,334
603_21,w,ax,nx,ix,564
603_22,ax,nx,ix,tcl,1446
603_23,nx,ix,tcl,g,580
603_24,ix,tcl,g,ow,1732
603_25,tcl,g,ow,z,1019
603_26,g,ow,z,tcl,717
603_27,ow,z,tcl,t,1224
603_28,z,tcl,t,ao,1115
603_29,tcl,t,ao,axr,1003
603_30,t,ao,axr,dcl,262
603_31,ao,axr,dcl,z,1340
603_32,axr,dcl,z,dh,600
603_33,dcl,z,dh,ix,560
603_34,z,dh,ix,hh,1840
603_35,dh,ix,hh,ae,3168
603_36,ix,hh,ae,n,1378
603_37,hh,ae,n,y,896
603_38,ae,n,y,ix,896
603_39,n,y,ix,y,1755
603_40,y,ix,y,ux,2227
603_41,ix,y,ux,z,1280
603_42,y,ux,z,tcl,400
603_43,ux,z,tcl,t,956
603_44,z,tcl,t,ix,324
603_45,tcl,t,ix,m,1176
603_46,t,ix,m,ey,1265
603_47,ix,m,ey,kcl,319
603_48,m,ey,kcl,k,1560
603_49,ey,kcl,k,y,240
603_50,kcl,k,y,er,480
603_51,k,y,er,m,1622
603_52,y,er,m,aa,2698
603_53,er,m,aa,kcl,2160
603_54,m,aa,kcl,k,958
604_0,sil,sil,sil,ih,361
604_1,sil,sil,ih,l,1151
604_2,sil,ih,l,uh,816
604_3,ih,l,uh,kcl,597
604_4,l,uh,kcl,s,1427
604_5,uh,kcl,s,l,426
604_6,kcl,s,l,ay,820
604_7,s,l,ay,kcl,585
604_8,l,ay,kcl,k,1086
604_9,ay,kcl,k,w,334
604_10,kcl,k,w,iy,589
604_11,k,w,iy,dcl,1500
604_12,w,iy,dcl,d,340
604_13,iy,dcl,d,ih,3040
604_14,dcl,d,ih,dcl,1560
604_15,d,ih,dcl,d,400
604_16,ih,dcl,d,pau,2602
604_17,dcl,d,pau,w,424
604_18,d,pau,w,ax,616
604_19,pau,w,ax,n,478
604_20,w,ax,n,w,1276
604_21,ax,n,w,ix,878
604_22,n,w,ix,m,1169
604_23,w,ix,m,ey,2197
604_24,ix,m,ey,dcl,1772
604_25,m,ey,dcl,b,548
604_26,ey,dcl,b,l,538
604_27,dcl,b,l,ae,1993
604_28,b,l,ae,s,1892
604_29,l,ae,s,tcl,1003
604_30,ae,s,tcl,d,501
604_31,s,tcl,d,aw,3583
604_32,tcl,d,aw,n,1124
605_0,sil,sil,sil,m,607
605_1,sil,sil,m,ey,1873
605_2,sil,m,ey,bcl,530
605_3,m,ey,bcl,b,280
605_4,ey,bcl,b,iy,2111
605_5,bcl,b,iy,ih,1128
605_6,b,iy,ih,tcl,675
605_7,iy,ih,tcl,w,733
605_8,ih,tcl,w,ax,415
605_9,tcl,w,ax,dcl,528
605_10,w,ax,dcl,d,1200
605_11,ax,dcl,d,w,680
605_12,dcl,d,w,er,1158
605_13,d,w,er,kcl,1462
605_14,w,er,kcl,k,980
605_15,er,kcl,k,dh,160
605_16,kcl,k,dh,iy,1659
605_17,k,dh,iy,ah,1179
605_18,dh,iy,ah,dh,974
605_19,iy,ah,dh,axr,949
605_20,ah,dh,axr,w,2162
605_21,dh,axr,w,ey,3077
606_0,sil,sil,sil,dh,296
606_1,sil,sil,dh,ih,745
606_2,sil,dh,ih,bcl,1093
606_3,dh,ih,bcl,b,251
606_4,ih,bcl,b,ah,1456
606_5,bcl,b,ah,dx,400
606_6,b,ah,dx,iy,1600
606_7,ah,dx,iy,z,1520
606_8,dx,iy,z,ix,720
606_9,iy,z,ix,n,988
606_10,z,ix,n,v,1253
606_11,ix,n,v,er,1439
606_12,n,v,er,ih,1440
606_13,v,er,ih,bcl,923
606_14,er,ih,bcl,b,437
606_15,ih,bcl,b,l,426
606_16,bcl,b,l,iy,854
606_17,b,l,iy,tcl,1291
606_18,l,iy,tcl,t,709
606_19,iy,tcl,t,uh,640
606_20,tcl,t,uh,kcl,640
606_21,t,uh,kcl,k,640
606_22,uh,kcl,k,ix,640
606_23,kcl,k,ix,dcl,560
606_24,k,ix,dcl,v,1040
606_25,ix,dcl,v,ae,1564
606_26,dcl,v,ae,nx,596
606_27,v,ae,nx,ix,960
606_28,ae,nx,ix,dcl,617
606_29,nx,ix,dcl,jh,710
606_30,ix,dcl,jh,ix,433
606_31,dcl,jh,ix,v,444
606_32,jh,ix,v,hh,756
606_33,ix,v,hh,ih,1082
606_34,v,hh,ih,m,518
607_0,sil,sil,sil,b,307
607_1,sil,sil,b,iy,1253
607_2,sil,b,iy,hv,1295
607_3,b,iy,hv,ay,2537
607_4,iy,hv,ay,n,475
607_5,hv,ay,n,dcl,358
607_6,ay,n,dcl,d,390
607_7,n,dcl,d,hh,710
607_8,dcl,d,hh,ih,2147
607_9,d,hh,ih,m,945
607_10,hh,ih,m,pau,2366
607_11,ih,m,pau,hh,1257
607_12,m,pau,hh,ix,1032
607_13,pau,hh,ix,z,1760
607_14,hh,ix,z,epi,519
607_15,ix,z,epi,m,710
607_16,z,epi,m,ey,2211
607_17,epi,m,ey,tcl,1200
607_18,m,ey,tcl,t,440
607_19,ey,tcl,t,s,2332
607_20,tcl,t,s,tcl,508
607_21,t,s,tcl,t,453
607_22,s,tcl,t,er,2907
607_23,tcl,t,er,dcl,393
607_24,t,er,dcl,w,919
607_25,er,dcl,w,ax,767
607_26,dcl,w,ax,th,1361
607_27,w,ax,th,aw,2468
607_28,ax,th,aw,q,1582
607_29,th,aw,q,w,1342
607_30,aw,q,w,ey,1587
607_31,q,w,ey,kcl,1003
607_32,w,ey,kcl,k,710
607_33,ey,kcl,k,ix,627
607_34,kcl,k,ix,ng,763
608_0,sil,sil,sil,y,609
608_1,sil,sil,y,eh,1271
608_2,sil,y,eh,r,1755
608_3,y,eh,r,ay,1934
608_4,eh,r,ay,tcl,736
608_5,r,ay,tcl,n,854
608_6,ay,tcl,n,aw,2410
608_7,tcl,n,aw,bcl,1280
608_8,n,aw,bcl,b,200
608_9,aw,bcl,b,ah,1560
608_10,bcl,b,ah,dx,400
608_11,b,ah,dx,iy,1200
609_0,sil,sil,sil,dh,212
609_1,sil,sil,dh,ah,988
609_2,sil,dh,ah,tcl,1071
609_3,dh,ah,tcl,t,849
609_4,ah,tcl,t,ey,2154
609_5,tcl,t,ey,pcl,726
609_6,t,ey,pcl,p,508
609_7,ey,pcl,p,sh,2925
609_8,pcl,p,sh,ow,2887
609_9,p,sh,ow,dh,860
609_10,sh,ow,dh,ae,3231
609_11,ow,dh,ae,tcl,809
610_0,sil,sil,sil,hh,960
610_1,sil,sil,hh,axr,1680
610_2,sil,hh,axr,hv,1360
610_3,hh,axr,hv,ah,1680
610_4,axr,hv,ah,m,960
610_5,hv,ah,m,bcl,639
610_6,ah,m,bcl,b,209
610_7,m,bcl,b,ix,672
610_8,bcl,b,ix,kcl,720
610_9,b,ix,kcl,k,1120
610_10,ix,kcl,k,ey,960
610_11,kcl,k,ey,m,880
610_12,k,ey,m,ix,640
610_13,ey,m,ix,gcl,856
610_14,m,ix,gcl,g,627
610_15,ix,gcl,g,er,2277
610_16,gcl,g,er,gcl,731
610_17,g,er,gcl,el,2029
610_18,er,gcl,el,ax,1000
610_19,gcl,el,ax,v,522
610_20,el,ax,v,s,1504
610_21,ax,v,s,ax-h,543
610_22,v,s,ax-h,pcl,951
610_23,s,ax-h,pcl,p,720
610_24,ax-h,pcl,p,r,835
610_25,pcl,p,r,ay,3927
610_26,p,r,ay,z,2598
611_0,sil,sil,sil,dh,159
611_1,sil,sil,dh,ax,961
611_2,sil,dh,ax,l,1017
611_3,dh,ax,l,ey,2183
611_4,ax,l,ey,dx,400
611_5,l,ey,dx,iy,1600
611_6,ey,dx,iy,z,1039
611_7,dx,iy,z,q,1337
611_8,iy,z,q,ay,5556
611_9,z,q,ay,z,1295
611_10,q,ay,z,pau,1733
611_11,ay,z,pau,q,400
611_12,z,pau,q,aa,2720
611_13,pau,q,aa,n,811
611_14,q,aa,n,m,811
611_15,aa,n,m,ae,2618
611_16,n,m,ae,gcl,515
611_17,m,ae,gcl,n,502
611_18,ae,gcl,n,ix,983
611_19,gcl,n,ix,f,1680
611_20,n,ix,f,ay,2720
611_21,ix,f,ay,dcl,1400
611_22,f,ay,dcl,pau,1400
611_23,ay,dcl,pau,b,320
611_24,dcl,pau,b,ah,2080
611_25,pau,b,ah,gcl,1680
611_26,b,ah,gcl,d,400
611_27,ah,gcl,d,aw,4720
611_28,gcl,d,aw,tcl,940
612_0,sil,sil,sil,y,752
612_1,sil,sil,y,ux,961
612_2,sil,y,ux,pcl,1211
612_3,y,ux,pcl,p,627
612_4,ux,pcl,p,iy,1253
612_5,pcl,p,iy,pcl,1016
612_6,p,iy,pcl,p,330
612_7,iy,pcl,p,el,1077
612_8,pcl,p,el,dcl,714
612_9,p,el,dcl,d,400
612_10,el,dcl,d,ow,1936
612_11,dcl,d,ow,q,585
612_12,d,ow,q,hv,1629
612_13,ow,q,hv,ae,1838
612_14,q,hv,ae,v,919
612_15,hv,ae,v,ax,853
612_16,ae,v,ax,dcl,480
612_17,v,ax,dcl,jh,800
612_18,ax,dcl,jh,ah,1200
612_19,dcl,jh,ah,s,845
612_20,jh,ah,s,tcl,835
612_21,ah,s,tcl,t,543
612_22,s,tcl,t,ax-h,320
612_23,tcl,t,ax-h,bcl,639
612_24,t,ax-h,bcl,b,150
612_25,ax-h,bcl,b,el,1788
612_26,bcl,b,el,v,1281
612_27,b,el,v,ih,1439
612_28,el,v,ih,zh,1520
612_29,v,ih,zh,ix,858
612_30,ih,zh,ix,n,691
613_0,sil,sil,sil,dh,640
613_1,sil,sil,dh,ix,640
613_2,sil,dh,ix,gcl,800
613_3,dh,ix,gcl,g,640
613_4,ix,gcl,g,uh,1840
613_5,gcl,g,uh,dcl,588
613_6,g,uh,dcl,m,1003
613_7,uh,dcl,m,ae,2649
613_8,dcl,m,ae,n,880
613_9,m,ae,n,tcl,607
613_10,ae,n,tcl,ch,1393
613_11,n,tcl,ch,aa,1717
613_12,tcl,ch,aa,r,858
613_13,ch,aa,r,dx,418
613_14,aa,r,dx,el,1487
613_15,r,dx,el,dcl,1229
613_16,dx,el,dcl,d,291
613_17,el,dcl,d,ax,640
613_18,dcl,d,ax,pcl,1760
613_19,d,ax,pcl,p,1280
613_20,ax,pcl,p,r,533
613_21,pcl,p,r,iy,1067
613_22,p,r,iy,sh,2157
613_23,r,iy,sh,ax,1212
613_24,iy,sh,ax,dx,417
613_25,sh,ax,dx,ih,1254
613_26,ax,dx,ih,v,1211
613_27,dx,ih,v,l,1156
613_28,ih,v,l,iy,2311
613_29,v,l,iy,pau,7019
613_30,l,iy,pau,ix,1002
613_31,iy,pau,ix,n,585
613_32,pau,ix,n,dcl,376
613_33,ix,n,dcl,d,293
613_34,n,dcl,d,iy,687
613_35,dcl,d,iy,s,2080
613_36,d,iy,s,ay,2400
613_37,iy,s,ay,dx,560
613_38,s,ay,dx,ix,640
613_39,ay,dx,ix,dcl,560
613_40,dx,ix,dcl,dh,880
613_41,ix,dcl,dh,ax,800
613_42,dcl,dh,ax,tcl,960
613_43,dh,ax,tcl,t,1760
613_44,ax,tcl,t,r,400
613_45,tcl,t,r,ih,800
613_46,t,r,ih,pcl,2160
613_47,r,ih,pcl,w,373
613_48,ih,pcl,w,ax,747
613_49,pcl,w,ax,z,1000
613_50,w,ax,z,epi,680
613_51,ax,z,epi,w,746
613_52,z,epi,w,er,1494
613_53,epi,w,er,th,920
613_54,w,er,th,hh,1240
613_55,er,th,hh,ix,960
